Date,Open,High,Low,Close,Volume,Ticker,Return,MA_10,MA_50,Vol_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Year,Accum_Return
2021-06-14,124.70758548178374,127.36134728829198,123.9758479654745,127.30281066894533,96906500,AAPL,0.024578020525782174,123.17385482788086,125.62207534790039,0.011337752233744095,0.009832768586631957,-0.008023589450169788,0.0030775148236394934,2021,0.024578020525782174
2021-06-15,126.7759820170539,127.41991468464408,126.23937146072876,126.48328399658205,62746300,AAPL,-0.0064376164835392435,123.69680633544922,125.69921997070313,0.01166807836794161,0.024578020525782174,0.009832768586631957,-0.008023589450169788,2021,0.017982180172173345
2021-06-16,127.19548678307784,127.7028289556805,125.33200658203938,126.98084259033205,91815000,AAPL,0.003933789335857529,124.19341278076172,125.78027709960938,0.011647319105028541,-0.0064376164835392435,0.024578020525782174,0.009832768586631957,2021,0.021986707616627577
2021-06-17,126.63939825744671,129.3224362930399,126.49304179588825,128.5809326171875,96721700,AAPL,0.012601034882227857,124.99832611083984,125.8604150390625,0.01038058784371418,0.003933789335857529,-0.0064376164835392435,0.024578020525782174,2021,0.03486479776847795
2021-06-18,127.52723008894328,128.30773825283313,127.06867335467656,127.28331756591795,108953300,AAPL,-0.010091815519279401,125.44419937133789,125.86668045043945,0.010569771434535693,0.012601034882227857,0.003933789335857529,-0.0064376164835392435,2021,0.024421133142002116
2021-06-21,127.12720634134745,129.18582857227696,126.06375134431808,129.07850646972656,79663300,AAPL,0.014103882096559106,126.0686164855957,125.85742202758789,0.01097030450193053,-0.010091815519279401,0.012601034882227857,0.003933789335857529,2021,0.03886944802106029
2021-06-22,128.91263161271146,130.8151460223462,128.4150406144124,130.7175750732422,74783600,AAPL,0.012698230312263803,126.77498855590821,125.91523010253906,0.01123322561870121,0.014103882096559106,-0.010091815519279401,0.012601034882227857,2021,0.05206125153640606
2021-06-23,130.51269961588608,131.04931007255976,129.98584029942936,130.44439697265625,60214200,AAPL,-0.0020898345186779466,127.41598815917969,125.90543334960938,0.011479692330327022,0.012698230312263803,0.014103882096559106,-0.010091815519279401,2021,0.04986261761718169
2021-06-24,131.1761533209972,131.36152922245495,129.69316099657445,130.16148376464844,68711000,AAPL,-0.002168841395825627,128.1282165527344,125.9367300415039,0.010868439908899165,-0.0020898345186779466,0.012698230312263803,0.014103882096559106,2021,0.04758563211216371
2021-06-25,130.2102425761428,130.6297648884673,129.57606120699057,129.86875915527344,70783700,AAPL,-0.0022489341770587368,128.69019088745117,125.91405670166016,0.011027835093170188,-0.002168841395825627,-0.0020898345186779466,0.012698230312263803,2021,0.045229680980710896
2021-06-28,130.1614570490265,131.95664929646315,130.10292043684166,131.4980926513672,62111300,AAPL,0.012546000336737473,129.10971908569337,125.93059356689453,0.00907596825618105,-0.0022489341770587368,-0.002168841395825627,-0.0020898345186779466,2021,0.05834313291026283
2021-06-29,131.51761747124857,133.16646828417475,131.07857796707717,133.01036071777344,64556100,AAPL,0.011500304193883926,129.7624267578125,125.96412933349609,0.00870605522020839,0.012546000336737473,-0.0022489341770587368,-0.002168841395825627,2021,0.07051440088023897
2021-06-30,132.85428902246187,134.06410065786974,132.56159097823922,133.62506103515625,63261400,AAPL,0.004621446886285074,130.4268486022949,126.0436587524414,0.008698722691221851,0.011500304193883926,0.012546000336737473,-0.0022489341770587368,2021,0.07546172632491022
2021-07-01,133.27377610064684,133.98599632611845,132.45421890843855,133.92745971679688,52485800,AAPL,0.0022630386792568125,130.96150131225585,126.12164031982422,0.008320524918192011,0.004621446886285074,0.011500304193883926,0.012546000336737473,2021,0.07789553780964376
2021-07-02,134.54213509862615,136.59100614570704,134.39579354693674,136.55198669433594,78852600,AAPL,0.01959663076630358,131.88836822509765,126.28250091552735,0.007978340282683035,0.0022630386792568125,0.004621446886285074,0.011500304193883926,2021,0.0990186586687456
